"Date","Sale","Is Marketplace","Total (USD)","Refunds (USD)","Tax (USD)","Platform Fee (USD)","Net Total (USD)"
"2024-11-01 02:16:06","Order #84725269","No","0","0","0","0","0"
"2024-11-01 06:48:08","Order #84725270","No","0","0","0","0","0"
"2024-11-01 08:35:23","Order #84725271","No","0","0","0","0","0"
"2024-11-01 08:59:43","Order #84725272","No","0","0","0","0","0"
"2024-11-01 09:02:59","Order #84725273","No","0","0","0","0","0"
"2024-11-01 09:35:48","Order #84725274","No","0","0","0","0","0"
"2024-11-01 10:02:26","Order #84725275","No","0","0","0","0","0"
"2024-11-01 10:48:36","Order #84725276","No","0","0","0","0","0"
"2024-11-01 16:57:57","Order #84725277","No","0","0","0","0","0"
"2024-11-01 19:06:30","Order #84725278","No","0","0","0","0","0"
"2024-11-02 03:25:29","Order #84725279","No","0","0","0","0","0"
"2024-11-02 06:33:48","Order #84725280","No","0","0","0","0","0"
"2024-11-02 07:57:59","Order #84725281","No","0","0","0","0","0"
"2024-11-02 08:48:36","Order #84725282","No","0","0","0","0","0"
"2024-11-02 10:31:59","Order #84725283","No","0","0","0","0","0"
"2024-11-02 14:46:23","Order #84725284","No","0","0","0","0","0"
"2024-11-02 19:50:11","Order #84725285","No","0","0","0","0","0"
"2024-11-02 21:21:47","Order #84725286","No","0","0","0","0","0"
"2024-11-03 01:20:31","Order #84725287","No","0","0","0","0","0"
"2024-11-03 09:17:12","Order #84725288","No","0","0","0","0","0"
"2024-11-03 12:01:25","Order #84725289","No","0","0","0","0","0"
"2024-11-04 04:41:57","Order #84725290","No","0","0","0","0","0"
"2024-11-04 10:15:09","Order #84725291","No","0","0","0","0","0"
"2024-11-04 11:04:49","Order #84725292","No","0","0","0","0","0"
"2024-11-05 07:53:32","Order #84725293","No","0","0","0","0","0"
"2024-11-05 13:54:54","Order #84725294","No","0","0","0","0","0"
"2024-11-05 15:35:43","Order #84725295","No","0","0","0","0","0"
"2024-11-05 17:22:23","Order #84725296","No","0","0","0","0","0"
"2024-11-05 17:43:46","Order #84725297","No","0","0","0","0","0"
"2024-11-05 20:16:57","Order #84725298","No","0","0","0","0","0"
"2024-11-06 05:16:12","Order #84725299","No","0","0","0","0","0"
"2024-11-06 10:22:56","Order #84725300","No","0","0","0","0","0"
"2024-11-06 15:36:04","Order #84725301","No","0","0","0","0","0"
"2024-11-07 07:10:02","Order #84725302","No","0","0","0","0","0"
"2024-11-07 12:37:01","Order #84725303","No","0","0","0","0","0"
"2024-11-07 12:51:24","Order #84725304","No","0","0","0","0","0"
"2024-11-07 14:57:42","Order #84725305","No","0","0","0","0","0"
"2024-11-07 15:37:24","Order #84725306","No","0","0","0","0","0"
"2024-11-08 05:33:54","Order #84725307","No","0","0","0","0","0"
"2024-11-08 15:49:41","Order #84725308","No","0","0","0","0","0"
"2024-11-09 08:11:08","Order #84725309","No","0","0","0","0","0"
"2024-11-10 14:08:56","Order #84725310","No","0","0","0","0","0"
"2024-11-10 15:30:50","Order #84725311","No","0","0","0","0","0"
"2024-11-10 18:01:20","Order #84725312","No","0","0","0","0","0"
"2024-11-10 22:53:51","Order #84725313","No","0","0","0","0","0"
"2024-11-10 23:13:05","Order #84725314","No","0","0","0","0","0"
"2024-11-10 23:36:23","Order #84725315","No","0","0","0","0","0"
"2024-11-11 04:02:13","Order #84725316","No","0","0","0","0","0"
"2024-11-11 21:12:29","Order #84725317","No","0","0","0","0","0"
"2024-11-12 10:49:57","Order #84725318","No","0","0","0","0","0"
"2024-11-12 11:38:48","Order #84725319","No","0","0","0","0","0"
"2024-11-13 05:00:16","Order #84725320","No","0","0","0","0","0"
"2024-11-13 08:44:16","Order #84725321","No","0","0","0","0","0"
"2024-11-13 17:14:36","Order #84725322","No","0","0","0","0","0"
"2024-11-14 04:12:12","Order #84725323","No","0","0","0","0","0"
"2024-11-14 10:34:11","Order #84725324","No","0","0","0","0","0"
"2024-11-14 14:32:58","Order #84725325","No","0","0","0","0","0"
"2024-11-14 22:44:09","Order #84725326","No","0","0","0","0","0"
"2024-11-14 22:44:52","Order #84725327","No","0","0","0","0","0"
"2024-11-15 05:54:29","Order #84725328","No","0","0","0","0","0"
"2024-11-15 12:28:34","Order #84725329","No","0","0","0","0","0"
"2024-11-15 13:21:10","Order #84725330","No","0","0","0","0","0"
"2024-11-15 15:52:13","Order #84725331","No","0","0","0","0","0"
"2024-11-15 16:01:38","Order #84725332","No","0","0","0","0","0"
"2024-11-15 21:16:13","Order #84725333","No","0","0","0","0","0"
"2024-11-15 21:45:41","Order #84725334","No","0","0","0","0","0"
"2024-11-15 21:46:34","Order #84725335","No","0","0","0","0","0"
"2024-11-15 21:53:43","Order #84725336","No","0","0","0","0","0"
"2024-11-15 22:18:01","Order #84725337","No","0","0","0","0","0"
"2024-11-15 22:25:33","Order #84725338","No","0","0","0","0","0"
"2024-11-15 22:25:40","Order #84725339","No","0","0","0","0","0"
"2024-11-15 22:37:40","Order #84725340","No","0","0","0","0","0"
"2024-11-15 23:00:55","Order #84725341","No","0","0","0","0","0"
"2024-11-15 23:39:09","Order #84725342","No","0","0","0","0","0"
"2024-11-15 23:40:55","Order #84725343","No","0","0","0","0","0"
"2024-11-15 23:48:27","Order #84725344","No","0","0","0","0","0"
"2024-11-15 23:49:48","Order #84725345","No","0","0","0","0","0"
"2024-11-16 00:20:27","Order #84725346","No","0","0","0","0","0"
"2024-11-16 00:28:16","Order #84725347","No","0","0","0","0","0"
"2024-11-16 01:13:40","Order #84725348","No","0","0","0","0","0"
"2024-11-16 01:54:14","Order #84725349","No","0","0","0","0","0"
"2024-11-16 03:07:44","Order #84725350","No","0","0","0","0","0"
"2024-11-16 03:21:14","Order #84725351","No","0","0","0","0","0"
"2024-11-16 03:31:34","Order #84725352","No","0","0","0","0","0"
"2024-11-16 03:37:39","Order #84725353","No","0","0","0","0","0"
"2024-11-16 04:22:06","Order #84725354","No","0","0","0","0","0"
"2024-11-16 05:10:07","Order #84725355","No","0","0","0","0","0"
"2024-11-16 05:12:25","Order #84725356","No","0","0","0","0","0"
"2024-11-16 05:38:27","Order #84725357","No","0","0","0","0","0"
"2024-11-16 06:16:03","Order #84725358","No","0","0","0","0","0"
"2024-11-16 06:26:57","Order #84725359","No","0","0","0","0","0"
"2024-11-16 07:01:46","Order #84725360","No","0","0","0","0","0"
"2024-11-16 08:10:31","Order #84725361","No","0","0","0","0","0"
"2024-11-16 08:16:23","Order #84725362","No","0","0","0","0","0"
