"Date","Sale","Is Marketplace","Total (USD)","Refunds (USD)","Tax (USD)","Platform Fee (USD)","Net Total (USD)"
"2024-07-15 06:54:20","Order #84725155","No","61.25","0","-12.25","-4.49","44.51"
"2024-07-15 06:55:49","Order #84725156","No","49","0","0","-3.69","45.31"
"2024-07-16 13:06:09","Order #84725157","No","118.58","0","-20.58","-9.99","88.01"
"2024-07-16 18:05:37","Order #84725158","No","349","0","0","-17.95","331.05"
"2024-07-17 10:59:17","Order #84725159","No","105.6","0","-7.6","-5.78","92.22"
"2024-07-17 18:43:12","Order #84725160","No","98","0","0","-6.87","91.13"
"2024-07-18 06:43:56","Order #84725161","No","75.46","0","-6.86","-5.42","63.18"
"2024-07-18 17:56:29","Order #84725162","No","39.2","0","0","-3.05","36.15"
"2024-07-18 21:18:37","Order #84725163","No","112.7","0","-14.7","-7.84","90.16"
"2024-07-19 04:32:43","Order #84725164","No","98","0","0","-5.4","92.6"
"2024-07-20 14:28:26","Order #84725165","No","349","0","0","-23.19","325.81"
"2024-07-22 09:44:49","Order #84725166","No","54.39","0","-5.39","-4.04","44.96"
"2024-07-22 18:51:26","Order #84725167","No","110.74","0","-12.74","-9.38","88.62"
"2024-07-23 15:52:15","Order #84725168","No","58.8","0","0","-3.44","55.36"
"2024-07-24 02:59:04","Order #84725169","No","105.84","0","-7.84","-5.8","92.2"
"2024-07-24 08:56:54","Order #84725170","No","98","0","0","-6.87","91.13"
"2024-07-25 11:29:31","Order #84725171","No","98","0","0","-8.34","89.66"
"2024-07-31 16:16:10","Order #84725172","No","98","0","0","-6.87","91.13"
"2024-08-14 00:00:00","Payout fee","-","0","0","0","-11.76","-11.76"
