"Date","Sale","Is Marketplace","Total (USD)","Refunds (USD)","Tax (USD)","Platform Fee (USD)","Net Total (USD)"
"2024-06-16 12:45:24","Order #8472545","No","58.19","0","-4.19","-3.41","50.59"
"2024-06-18 02:38:11","Order #8472546","No","99","0","0","-5.45","93.55"
"2024-06-19 17:09:17","Order #8472547","No","54","0","0","-3.2","50.8"
"2024-06-20 15:28:24","Order #8472548","No","39.69","0","-1.89","-3.09","34.71"
"2024-06-20 16:31:34","Order #8472549","No","40.45","0","-2.65","-3.14","34.66"
"2024-06-21 10:51:45","Order #8472550","No","54","0","0","-3.2","50.8"
"2024-06-21 18:57:10","Order #8472551","No","32.4","0","0","-2.61","29.79"
"2024-06-22 13:12:48","Order #8472552","No","59.4","0","-5.4","-7.34","46.66"
"2024-06-24 08:19:23","Order #8472553","No","99","0","0","-6.94","92.06"
"2024-06-25 15:21:17","Order #8472554","No","27","0","0","-2.26","24.74"
"2024-06-25 20:45:22","Order #8472555","No","98","0","0","-5.4","92.6"
"2024-06-25 23:48:09","Order #8472556","No","59.4","0","-5.4","-4.37","49.63"
"2024-06-27 05:58:38","Order #8472557","No","117.6","0","-19.6","-8.15","89.85"
"2024-06-27 14:25:28","Order #8472558","No","105.84","0","-7.84","-5.8","92.2"
"2024-06-28 16:46:27","Order #8472559","No","376.05","0","-27.05","-19.31","329.69"
"2024-07-14 00:00:00","Payout fee","-","0","0","0","-8.31","-8.31"
