"Date","Sale","Is Marketplace","Total (USD)","Refunds (USD)","Tax (USD)","Platform Fee (USD)","Net Total (USD)"
"2024-07-01 23:49:37","Order #8472560","No","98","0","0","-5.4","92.6"
"2024-07-02 12:18:35","Order #8472561","No","58.8","0","0","-4.33","54.47"
"2024-07-03 09:27:09","Order #8472562","No","52.97","0","-3.97","-3.95","45.05"
"2024-07-03 14:01:18","Order #8472563","No","117.6","0","-19.6","-8.15","89.85"
"2024-07-03 14:57:08","Order #8472564","No","53.9","0","-4.9","-4.01","44.99"
"2024-07-04 10:31:58","Order #8472565","No","39.2","0","0","-3.64","35.56"
"2024-07-07 23:41:04","Order #8472566","No","49","0","0","-3.69","45.31"
"2024-07-08 13:59:08","Order #8472567","No","68.6","0","0","-3.93","64.67"
"2024-07-09 02:25:22","Order #84725142","No","174.5","0","0","-11.85","162.65"
"2024-07-09 10:31:00","Order #84725143","No","105.94","0","-7.94","-7.39","90.61"
"2024-07-09 12:23:44","Order #84725144","No","98","0","0","-6.87","91.13"
"2024-07-10 08:42:31","Order #84725145","No","117.6","0","-19.6","-8.15","89.85"
"2024-07-10 23:51:53","Order #84725146","No","349","0","0","-17.95","331.05"
"2024-07-11 02:34:54","Order #84725147","No","107.11","0","-9.11","-5.86","92.14"
"2024-07-11 10:56:48","Order #84725148","No","58.8","0","0","-4.33","54.47"
"2024-07-11 13:26:46","Order #84725149","No","373.43","0","-24.43","-19.18","329.82"
"2024-07-11 16:05:16","Order #84725150","No","110.74","0","-12.74","-7.71","90.29"
"2024-07-11 20:52:43","Order #84725151","No","58.8","0","0","-4.33","54.47"
"2024-07-12 07:23:45","Order #84725152","No","112.7","0","-14.7","-7.84","90.16"
"2024-07-12 13:14:44","Order #84725153","No","58.8","0","0","-4.33","54.47"
"2024-07-12 16:38:19","Order #84725154","No","39.2","0","0","-3.64","35.56"
"2024-07-28 00:00:00","Payout fee","-","0","0","0","-12.69","-12.69"
