"Date","Sale","Is Marketplace","Total (USD)","Refunds (USD)","Tax (USD)","Platform Fee (USD)","Net Total (USD)"
"2024-08-15 07:33:53","Order #84725180","No","122.5","0","-24.5","-10.31","87.69"
"2024-08-15 23:19:29","Order #84725181","No","122.5","0","-24.5","-10.31","87.69"
"2024-08-18 05:01:18","Order #84725182","No","58.8","0","0","-4.33","54.47"
"2024-08-18 16:19:58","Order #84725183","No","98","0","0","-5.4","92.6"
"2024-08-19 09:26:31","Order #84725184","No","98","0","0","-5.4","92.6"
"2024-08-20 19:31:42","Order #84725185","No","98","0","0","-5.4","92.6"
"2024-08-20 19:31:47","Order #84725186","No","58.8","0","0","-4.33","54.47"
"2024-08-21 03:41:52","Order #84725187","No","57.82","0","-8.82","-4.27","44.73"
"2024-08-21 06:45:57","Order #84725188","No","85.46","0","-7.06","-6.07","72.33"
"2024-08-21 18:41:46","Order #84725189","No","98","0","0","-6.87","91.13"
"2024-08-22 15:17:18","Order #84725190","No","49","0","0","-3.69","45.31"
"2024-08-22 15:44:51","Order #84725191","No","0","0","0","0","0"
"2024-08-23 01:01:58","Order #84725192","No","92.61","0","-4.41","-7.92","80.28"
"2024-08-23 07:06:02","Order #84725193","No","72.03","0","-3.43","-5.2","63.4"
"2024-08-23 17:02:02","Order #84725194","No","98","0","0","-8.34","89.66"
"2024-08-24 20:22:00","Order #84725195","No","117.6","0","-19.6","-8.15","89.85"
"2024-08-26 03:17:22","Order #84725196","No","58.8","0","0","-5.22","53.58"
"2024-08-28 09:56:20","Order #84725197","No","98","0","0","-6.87","91.13"
"2024-08-29 03:50:02","Order #84725198","No","88.2","0","0","-6.24","81.96"
"2024-08-30 14:19:44","Order #84725199","No","78.4","0","0","-4.42","73.98"
"2024-08-30 15:29:08","Order #84725200","No","58.8","0","0","-5.22","53.58"
"2024-08-30 18:32:13","Order #84725201","No","98","0","0","-5.4","92.6"
"2024-09-14 00:00:00","Payout fee","-","0","0","0","-10.42","-10.42"
