"Date","Sale","Is Marketplace","Total (USD)","Refunds (USD)","Tax (USD)","Platform Fee (USD)","Net Total (USD)"
"2024-10-15 15:22:21","Order #84725226","No","98","0","0","-6.87","91.13"
"2024-10-16 05:22:29","Order #84725227","No","349","0","0","-17.95","331.05"
"2024-10-16 11:23:43","Order #84725228","No","107.8","0","-9.8","-7.51","90.49"
"2024-10-17 18:54:10","Order #84725229","No","95.26","0","-7.06","-5.27","82.93"
"2024-10-25 21:56:36","Order #84725230","No","0","0","0","0","0"
"2024-10-26 12:33:23","Order #84725231","No","0","0","0","0","0"
"2024-10-26 20:28:40","Order #84725232","No","0","0","0","0","0"
"2024-10-27 00:14:29","Order #84725233","No","0","0","0","0","0"
"2024-10-27 05:02:09","Order #84725234","No","0","0","0","0","0"
"2024-10-28 00:09:08","Order #84725235","No","0","0","0","0","0"
"2024-10-28 11:42:56","Order #84725236","No","0","0","0","0","0"
"2024-10-29 11:26:23","Order #84725237","No","0","0","0","0","0"
"2024-10-29 18:01:23","Order #84725238","No","0","0","0","0","0"
"2024-10-30 09:34:10","Order #84725239","No","0","0","0","0","0"
"2024-10-30 12:46:11","Order #84725240","No","0","0","0","0","0"
"2024-10-30 19:18:09","Order #84725241","No","0","0","0","0","0"
"2024-10-31 01:58:45","Order #84725242","No","0","0","0","0","0"
"2024-10-31 02:45:13","Order #84725243","No","0","0","0","0","0"
"2024-10-31 02:47:30","Order #84725244","No","0","0","0","0","0"
"2024-10-31 02:57:23","Order #84725245","No","0","0","0","0","0"
"2024-10-31 12:25:08","Order #84725246","No","0","0","0","0","0"
"2024-10-31 12:32:26","Order #84725247","No","0","0","0","0","0"
"2024-10-31 12:43:08","Order #84725248","No","0","0","0","0","0"
"2024-10-31 12:45:10","Order #84725249","No","0","0","0","0","0"
"2024-10-31 13:03:37","Order #84725250","No","0","0","0","0","0"
"2024-10-31 13:05:12","Order #84725251","No","0","0","0","0","0"
"2024-10-31 13:22:47","Order #84725252","No","0","0","0","0","0"
"2024-10-31 13:30:08","Order #84725253","No","0","0","0","0","0"
"2024-10-31 13:49:55","Order #84725254","No","0","0","0","0","0"
"2024-10-31 14:30:44","Order #84725255","No","0","0","0","0","0"
"2024-10-31 15:49:17","Order #84725256","No","0","0","0","0","0"
"2024-10-31 16:09:30","Order #84725257","No","0","0","0","0","0"
"2024-10-31 16:23:06","Order #84725258","No","0","0","0","0","0"
"2024-10-31 17:01:49","Order #84725259","No","0","0","0","0","0"
"2024-10-31 17:02:23","Order #84725260","No","0","0","0","0","0"
"2024-10-31 17:53:42","Order #84725261","No","0","0","0","0","0"
"2024-10-31 19:37:35","Order #84725262","No","0","0","0","0","0"
"2024-10-31 20:22:20","Order #84725263","No","0","0","0","0","0"
"2024-10-31 20:39:48","Order #84725264","No","0","0","0","0","0"
"2024-10-31 21:11:30","Order #84725265","No","0","0","0","0","0"
"2024-10-31 21:24:38","Order #84725266","No","0","0","0","0","0"
"2024-10-31 21:56:13","Order #84725267","No","0","0","0","0","0"
"2024-10-31 22:29:55","Order #84725268","No","0","0","0","0","0"
"2024-11-14 00:00:00","Payout fee","-","0","0","0","0","0"
