"Date","Sale","Is Marketplace","Total (USD)","Refunds (USD)","Tax (USD)","Platform Fee (USD)","Net Total (USD)"
"2024-06-01 11:46:40","Order #8472513","No","95.99","0","-16","-6.74","73.25"
"2024-06-04 17:54:28","Order #8472514","No","0","0","0","0","0"
"2024-06-05 19:31:45","Order #8472515","No","0","0","0","0","0"
"2024-06-05 21:10:52","Order #8472516","No","95.99","0","-16","-6.74","73.25"
"2024-06-06 17:41:33","Order #8472517","No","79.99","0","0","-5.7","74.29"
"2024-06-07 22:42:11","Order #8472518","No","9","0","0","-0.95","8.05"
"2024-06-08 14:42:55","Order #8472519","No","9","0","0","-1.09","7.91"
"2024-06-09 05:55:38","Order #8472520","No","10.8","0","-1.8","-1.21","7.79"
"2024-06-09 08:07:33","Order #8472521","No","9","0","0","-1.23","7.77"
"2024-06-09 15:17:21","Order #8472522","No","11.07","0","-2.07","-1.23","7.77"
"2024-06-10 08:54:24","Order #8472523","No","10.8","0","-1.8","-1.38","7.62"
"2024-06-10 15:53:12","Order #8472524","No","19","0","0","-1.45","17.55"
"2024-06-10 20:02:01","Order #8472525","No","19","0","0","-1.74","17.26"
"2024-06-11 09:44:26","Order #8472526","No","11.4","0","0","-1.43","9.97"
"2024-06-11 14:44:59","Order #8472527","No","19","0","0","-1.45","17.55"
"2024-06-11 21:17:15","Order #8472528","No","25.92","0","-1.92","-1.8","22.2"
"2024-06-11 21:44:02","Order #8472529","No","25.92","0","-1.92","-2.19","21.81"
"2024-06-11 23:56:58","Order #8472530","No","25.2","0","-1.2","-2.14","21.86"
"2024-06-12 02:41:25","Order #8472531","No","24","0","0","-2.06","21.94"
"2024-06-12 03:13:47","Order #8472532","No","14.4","0","0","-1.66","12.74"
"2024-06-12 04:08:46","Order #8472533","No","12","0","0","-1.28","10.72"
"2024-06-12 08:00:30","Order #8472534","No","14.76","0","-2.76","-1.47","10.53"
"2024-06-12 10:33:20","Order #8472535","No","19.2","0","0","-1.75","17.45"
"2024-06-12 14:23:25","Order #8472536","No","32","0","0","-2.1","29.9"
"2024-06-13 05:06:07","Order #8472537","No","35.2","0","-3.2","-3.32","28.68"
"2024-06-13 06:28:34","Order #8472538","No","19.04","0","-3.04","-1.75","14.25"
"2024-06-13 15:06:32","Order #8472539","No","38.4","0","-6.4","-3","29"
"2024-06-13 17:10:53","Order #8472540","No","33.6","0","-1.6","-2.69","29.31"
"2024-06-13 17:43:04","Order #8472541","No","32","0","0","-2.1","29.9"
"2024-06-14 00:56:50","Order #8472542","No","34.75","0","-2.75","-2.24","29.76"
"2024-06-14 09:23:38","Order #8472543","No","51.84","0","-8.64","-4.66","38.54"
"2024-06-14 14:54:59","Order #8472544","No","57.24","0","-3.24","-3.37","50.63"
"2024-06-28 00:00:00","Payout fee","-","0","0","0","-6.24","-6.24"
