"Date","Sale","Is Marketplace","Total (USD)","Refunds (USD)","Tax (USD)","Platform Fee (USD)","Net Total (USD)"
"2024-10-01 16:14:13","Order #84725217","No","49","0","0","-3.69","45.31"
"2024-10-02 04:39:31","Order #84725218","No","115.64","0","-17.64","-8.03","89.97"
"2024-10-03 05:05:00","Order #84725219","No","105.64","0","-7.64","-5.79","92.21"
"2024-10-03 20:08:01","Order #84725220","No","98","0","0","-5.4","92.6"
"2024-10-07 15:11:41","Order #84725221","No","117.6","0","-19.6","-8.15","89.85"
"2024-10-10 15:50:35","Order #84725222","No","105.6","0","-7.6","-5.78","92.22"
"2024-10-13 19:34:25","Order #84725223","No","104.86","0","-6.86","-7.33","90.67"
"2024-10-14 08:37:13","Order #84725224","No","98","0","0","-5.4","92.6"
"2024-10-14 23:26:03","Order #84725225","No","112.7","0","-14.7","-7.84","90.16"
"2024-10-28 00:00:00","Payout fee","-","0","0","0","0","0"
