"Date","Sale","Is Marketplace","Total (USD)","Refunds (USD)","Tax (USD)","Platform Fee (USD)","Net Total (USD)"
"2024-09-19 00:02:25","Order #84725209","No","122.5","0","-24.5","-8.47","89.53"
"2024-09-19 13:19:35","Order #84725210","No","98","0","0","-5.4","92.6"
"2024-09-19 18:23:16","Order #84725211","No","376.92","0","-27.92","-19.35","329.65"
"2024-09-20 00:06:38","Order #84725212","No","98","0","0","-5.4","92.6"
"2024-09-20 22:00:14","Order #84725213","No","98","0","0","-5.4","92.6"
"2024-09-25 11:18:40","Order #84725214","No","98","0","0","-5.4","92.6"
"2024-09-25 15:11:25","Order #84725215","No","105.84","0","-7.84","-7.39","90.61"
"2024-09-29 08:23:30","Order #84725216","No","98","0","0","-6.87","91.13"
"2024-10-03 15:59:23","Refund - Order #84725218","No","0","-100","17.64","0","-82.36"
"2024-10-14 00:00:00","Payout fee","-","0","0","0","-6.93","-6.93"
